Channel,imaqtpie,Reckful,RatedEpicz,LIRIK,Nightblue3,nl_Kripp,Meteos,sneakylol,Doublelift,Amaz,IzakOOO,SilverName,Castro_1021,TimTheTatman,YoDa,CohhCarnage,hanryang1125,Dyrus
Language,English,English,English,English,English,English,English,English,English,English,Polish,Russian,English,English,Portuguese,English,Korean,English
2016-11-17,286955,8032,0,0,60720,136201,29691,181640,52818,134031,51308,145091,83208,38157,14581,45694,67379,10122
2016-11-18,0,267111,0,144094,57205,71141,40059,149733,144885,148371,34350,53617,73542,69642,30210,58906,41111,30247
2016-11-19,252354,136941,0,135141,103741,94010,0,172079,115151,39414,68976,85312,0,56664,62856,51636,0,38274
2016-11-20,203222,94996,0,0,87438,118723,0,188723,1986,164996,68875,0,76772,73467,0,78314,72550,38417
2016-11-21,255410,116335,0,144730,0,115298,1895,166998,56219,119243,63041,69345,68116,40956,56749,64638,64269,81603
2016-11-22,177748,0,0,130120,88377,112680,41791,143271,185986,119253,78612,0,49362,87681,51494,65404,67543,49256
2016-11-23,276613,0,0,120611,0,113674,4177,140117,143178,42121,133710,0,78019,117763,84147,42074,55419,45677
2016-11-24,215341,2160,0,0,112141,107251,2682,129696,134693,2775,208925,0,465,91131,73930,41015,58329,65911
2016-11-25,225981,85763,0,0,85436,84666,0,165628,55471,0,28842,0,167996,0,0,44431,0,57118
2016-11-26,249118,95702,0,130310,0,107672,1283,158816,89316,0,117806,0,154369,38301,0,34722,71870,62603
2016-11-27,0,57415,0,176323,154851,102794,36740,113073,2015,0,165028,0,0,48685,0,57671,74705,140758
2016-11-28,281530,19758,0,124606,0,126564,8184,125965,46057,95256,60422,140388,149411,37280,94268,52790,76539,82006
2016-11-29,227069,214389,0,191545,89640,109174,2229,102041,212635,89875,81505,41683,83450,80961,85980,163400,62845,25520
2016-11-30,267337,0,0,118253,0,73637,3076,117482,147586,115896,111146,150268,78533,97553,68325,118254,62660,19656
2016-12-01,213712,15517,0,0,86017,619856,18128,118593,126781,260633,164264,28347,51828,144599,0,97589,76076,64261
2016-12-02,221795,15763,0,120678,67487,350189,19554,122766,115482,176586,35620,99758,62196,56133,0,107375,54050,35791
